Country,ISO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Afghanistan,AFG,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,,1,,0,,,,0,,1,0,,1,1,1,0,,0,,1,0,1,1,1,,1,,1
Albania,ALB,1,1,0,0,1,1,0,0,0,0,1,0,0,,0,,0,,1,,,,1,,1,1,,0,1,1,0,,0,,0,1,1,1,1,,1,,1
Algeria,DZA,1,1,0,0,0,0,0,0,0,0,1,1,0,,0,,0,,1,,,,1,,0,0,,0,1,1,0,,0,,No data,1,0,0,0,,0,,0
Andorra,AND,1,1,0,0,1,1,0,0,0,0,1,0,0,,0,,0,,1,,,,1,,1,1,,0,1,1,0,,0,,0,1,1,1,0,,1,,1
Angola,AGO,1,1,0,0,1,1,0,0,0,0,1,0,0,,0,,0,,1,,,,1,,1,1,,0,1,1,0,,0,,0,1,1,1,0,,1,,1
Antigua and Barbuda,ATG,1,1,0,1,1,1,0,1,1,0,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,0,,1,,1
Argentina,ARG,1,1,0,0,1,1,0,0,0,0,1,0,0,,0,,0,,1,,,,1,,1,1,,0,1,1,0,,0,,0,1,1,1,1,,1,,1
Armenia,ARM,1,1,0,1,1,1,0,1,1,0,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,0,,1,,1
Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,1,,,,0,,0,1,,0,1,1,0,,0,,1,0,1,1,0,,1,,1
Austria,AUT,0,0,0,0,1,1,0,0,0,0,0,1,0,,0,,0,,1,,,,0,,0,1,,0,No data,No data,1,,1,,1,1,1,1,1,,1,,1
Azerbaijan,AZE,1,1,1,0,1,1,0,0,1,1,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
"Bahamas, The",BHS,1,0,0,0,0,0,0,0,0,1,1,0,1,,0,,0,,0,,,,1,,0,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Bahrain,BHR,1,0,0,0,0,0,0,0,1,No data,1,0,0,,0,,0,,1,,,,No data,,No data,No data,,No data,0,No data,0,,No data,,1,0,0,0,1,,1,,1
Bangladesh,BGD,1,1,1,0,1,1,0,0,1,1,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
Barbados,BRB,1,1,0,0,1,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Belarus,BLR,1,1,0,0,1,0,0,0,0,0,No data,0,0,,0,,0,,1,,,,1,,1,0,,0,1,1,0,,0,,1,0,0,0,1,,1,,1
Belgium,BEL,1,1,1,0,1,1,0,0,1,1,1,1,0,,1,,1,,1,,,,1,,1,1,,0,1,1,1,,1,,1,1,1,1,1,,1,,1
